endpoint	dataset	graph
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cdo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cdpeo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/chd
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/chear
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/chebi
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cheminf
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/chemrof
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/chiro
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/chmo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cido
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ckdo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cl
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/clao
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/clo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/clyh
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cmdo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cmo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cmr-qa
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cno
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/co-wheat
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cob
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/codo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cogat
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cogpo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cohsi2study
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cohsi2termsweekx
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/coid
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cokpme
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/colao
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/contsonto
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/copdo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/costart
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/covid-19
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/covid-19-ont-pm
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/covid19
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/covid19-ibo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/covidcrfrapid
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cpro
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cptac
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/creno
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/crisp
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cro
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cryoem
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/csso
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cstd
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ctcae
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cto
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cto-ndd
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ctont
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ctu_beready_gem
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ctx
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/cwd
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/datacite
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/datacite-vocab
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dcat
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dcat-fdc
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dccdfv
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dcm
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dco
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dct
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ddanat
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ddi
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ddiem
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ddpheno
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/deb
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/decide
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dermlex
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dermo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dfo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/diagont
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dikb
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dilon
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dinto
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/disdriv
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dloro
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dmdsont
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/doid
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/doremus-keys
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dpco
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dpo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dranpto
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dreamdnpto
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dron
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/drpsnpto
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dseo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/dto
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/e-ppo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ebp
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ecao
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ecg
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ecm4m-md-vocabs
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/eco
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ecocore
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ecso
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ecto
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/edam
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/edam-bioimaging
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/edda
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/efo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ego
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ehda
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ehdaa
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ehdaa2
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/eld
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/electrica
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/elig
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/elter_cl
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/emap
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/emif-ad
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/enm
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/envo
